bike_type,frame_material,production_cost,assembly_time,top_speed,battery_type,motor_power,customer_score
road,aluminum,219.21,62.24,19.63,lead acid,317W,3.01
road,STEel,617.81,87.4,26.15,nimh,230W,6.67
road,steel,608.5,57.26,27.84,li-ion,300W,7.29
mountain,steel,701.25,56.78,30.16,-,369W,9.35
road,carbon fiber,584.79,66.15,19.77,li-ion,282W,7.81
folding,aluminum,506.15,70.52,34.08,li-ion,269W,5.76
road,carbon fiber,365.08,40.18,26.99,nimh,264W,4.92
folding,steel,615.71,49.99,24.19,lead acid,238W,8.42
road,steel,302.05,86.78,23.57,lead acid,271W,4.71
standard,aluminum,476.44,70.91,22.38,lead acid,271W,6.65
road,carbon fiber,555.38,55.69,24.05,lead acid,227W,6.03
folding,aluminum,602.8,53.67,,li-ion,207W,7.33
mountain,aluminum,207.5,32.68,30.96,li-ion,231W,8.2
mountain,carbon fiber,229.71,43.54,26.56,lead acid,309W,4.97
standard,carbon fiber,229.41,57.39,26.31,nimh,270W,6.38
road,aluminum,719.26,55.62,26.3,nimh,245W,6.3
mountain,aluminum,456.33,55.46,23.65,lead acid,183W,6.12
folding,steel,682.64,55.95,21.25,nimh,293W,6.4
mountain,steel,493.85,78.45,24.25,lead acid,285W,6.77
standard,carbon fiber,569.48,69.81,21.35,nimh,281W,6.64
road,steel,391.8,46.31,30.23,nimh,268W,6.15
folding,carbon fiber,715.66,74.93,19.04,nimh,318W,5.44
mountain,aluminum,420.91,79.83,34.74,nimh,225W,4.98
standard,carbon fiber,314.36,69.16,27.98,li-ion,303W,5.28
folding,carbon fiber,606.7,87.43,25.99,li-ion,312W,8.66
road,aluminum,548.77,73.58,31.22,nimh,210W,5.06
folding,aluminum,222.51,71.73,25.23,nimh,302W,5.2
road,carbon fiber,656.23,51.69,24.37,li-ion,222W,5.76
road,carbon fiber,451.23,54.3,24.53,li-ion,384W,6.9
road,steel,597.4,77.09,23.32,lead acid,225W,8.16
mountain,aluminum,696.75,47.75,30.51,lead acid,239W,7.39
mountain,aluminum,528.66,45.48,31.77,lead acid,305W,6.15
mountain,aluminum,272.34,64.46,28.55,lead acid,284W,3.91
mountain,aluminum,700.95,69.06,26.06,li-ion,345W,8.22
road,carbon fiber,463.53,45.49,27.88,lead acid,227W,8.67
folding,aluminum,353.98,100.09,21.66,lead acid,220W,6.5
standard,carbon fiber,578.49,54.86,15.56,li-ion,256W,5.26
standard,carbon fiber,529.26,45.7,27.25,lead acid,202W,9.29
mountain,steel,492.35,55.0,27.55,nimh,188W,5.32
mountain,carbon fiber,204.8,93.8,23.77,nimh,366W,5.07
mountain,steel,734.87,86.4,,lead acid,218W,5.76
standard,aluminum,300.55,58.19,18.0,-,257W,5.82
road,carbon fiber,573.99,51.91,30.78,lead acid,241W,5.71
road,aluminum,347.67,92.23,18.15,-,314W,6.34
standard,steel,752.28,78.3,36.16,lead acid,192W,4.71
standard,aluminum,505.25,66.74,28.21,nimh,349W,9.0
standard,steel,620.51,61.07,25.0,lead acid,265W,8.42
road,aluminum,744.17,58.8,26.42,lead acid,173W,6.92
mountain,steel,531.97,74.29,23.07,li-ion,330W,6.77
mountain,carbon fiber,304.75,75.18,20.31,li-ion,346W,6.11
standard,carbon fiber,249.82,40.29,30.16,nimh,238W,5.9
road,aluminum,672.14,29.5,31.07,nimh,269W,8.26
folding,carbon fiber,259.73,87.8,20.66,lead acid,366W,4.73
road,aluminum,518.76,54.87,32.84,li-ion,235W,4.37
standard,carbon fiber,260.63,51.22,16.5,li-ion,276W,3.89
road,carbon fiber,536.77,55.65,19.74,lead acid,234W,9.22
standard,carbon fiber,501.05,59.57,30.36,lead acid,282W,6.35
mountain,carbon fiber,480.64,35.95,28.5,nimh,327W,1.91
mountain,STEel,587.49,67.5,28.57,lead acid,311W,9.1
folding,steel,276.24,70.54,21.65,nimh,256W,5.94
mountain,carbon fiber,298.75,66.91,24.35,lead acid,306W,5.87
standard,steel,597.1,50.74,20.41,nimh,180W,6.36
road,carbon fiber,417.01,86.38,,li-ion,217W,8.15
folding,carbon fiber,584.49,73.12,29.06,li-ion,242W,7.59
standard,steel,425.71,36.21,24.96,nimh,177W,5.44
folding,aluminum,647.22,66.36,23.22,lead acid,314W,5.83
standard,aluminum,569.78,51.34,,lead acid,157W,5.21
folding,aluminum,317.66,54.67,25.57,li-ion,318W,4.95
folding,steel,524.16,47.21,18.48,lead acid,206W,7.53
standard,steel,447.02,41.32,27.74,nimh,271W,6.72
road,aluminum,757.68,78.11,29.52,nimh,260W,8.17
mountain,aluminum,296.65,80.11,25.58,li-ion,267W,5.43
standard,carbon fiber,418.21,67.41,30.94,li-ion,172W,2.81
mountain,aluminum,790.1,28.64,29.85,nimh,187W,7.92
mountain,carbon fiber,257.33,60.06,25.23,li-ion,191W,4.91
standard,aluminum,277.14,64.12,20.62,li-ion,244W,5.08
standard,steel,390.9,73.15,24.6,lead acid,234W,4.83
folding,carbon fiber,598.9,46.58,24.76,nimh,322W,7.87
standard,aluminum,640.32,40.27,19.53,li-ion,287W,9.02
folding,aluminum,238.12,68.76,24.38,nimh,201W,4.36
standard,steel,467.13,61.47,20.58,lead acid,222W,3.89
folding,carbon fiber,771.79,72.59,14.72,li-ion,269W,8.85
standard,aluminum,607.0,76.71,28.23,lead acid,272W,5.41
road,carbon fiber,275.04,76.15,27.9,lead acid,195W,4.63
standard,carbon fiber,783.19,59.34,22.9,lead acid,215W,6.19
mountain,carbon fiber,325.76,94.64,29.89,li-ion,224W,4.75
folding,carbon fiber,729.46,66.05,23.88,lead acid,198W,8.94
road,aluminum,225.81,58.1,19.87,nimh,169W,6.31
folding,steel,412.81,49.65,29.22,li-ion,291W,7.43
mountain,carbon fiber,792.2,49.4,32.44,nimh,198W,9.21
mountain,steel,399.6,57.02,22.48,li-ion,296W,4.25
folding,carbon fiber,338.07,48.95,21.99,lead acid,315W,2.75
standard,carbon fiber,638.52,58.82,19.48,nimh,168W,8.74
road,carbon fiber,580.89,41.55,23.2,nimh,195W,7.09
folding,carbon fiber,542.47,64.21,22.26,li-ion,196W,8.34
standard,aluminum,288.24,83.6,14.93,lead acid,166W,7.73
folding,steel,473.44,46.04,27.37,lead acid,298W,6.24
standard,aluminum,702.15,57.41,21.02,nimh,213W,9.68
standard,aluminum,583.89,41.89,27.0,nimh,234W,7.02
folding,steel,362.68,54.61,33.98,nimh,237W,7.68
mountain,aluminum,750.18,53.66,30.11,lead acid,249W,7.06
road,steel,543.37,39.06,34.63,li-ion,184W,8.35
mountain,aluminum,658.03,51.85,25.72,li-ion,325W,10.29
mountain,aluminum,233.92,89.94,31.64,nimh,331W,4.29
road,aluminum,490.85,74.44,24.05,lead acid,317W,6.44
